epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.0593,0.72987,1.86443,1.2983,1,0.48867,0.98339,0.84152,0.52521,2.46101,1.12791,0.000647619,0.000647619,0.000647619
2,36.6273,0.71573,0.95058,1.25247,0.90475,0.88462,0.94426,0.62417,1.01421,2.10751,1.79526,0.00128826,0.00128826,0.00128826
3,55.6491,0.70553,0.82329,1.2458,0.65782,0.85036,0.76196,0.39524,1.15177,1.91714,1.77324,0.00190251,0.00190251,0.00190251
4,72.4096,0.71826,0.73783,1.23243,0.85499,0.90714,0.92433,0.65235,0.87137,1.57911,1.61279,0.0018812,0.0018812,0.0018812
5,89.9517,0.69614,0.67956,1.22243,0.8571,0.88462,0.9221,0.54466,0.94081,1.6302,1.67216,0.0018416,0.0018416,0.0018416
6,107.028,0.665,0.58569,1.20073,0.92054,0.92308,0.95645,0.786,0.71117,0.82946,1.39404,0.001802,0.001802,0.001802
7,123.991,0.65013,0.57101,1.19045,0.96494,1,0.99368,0.83821,0.62998,0.59117,1.28021,0.0017624,0.0017624,0.0017624
8,142.012,0.63669,0.54647,1.20667,0.89464,0.84615,0.88927,0.72905,0.75587,0.78003,1.30545,0.0017228,0.0017228,0.0017228
9,159.103,0.58203,0.48553,1.14394,0.94416,0.97558,0.99034,0.88152,0.48829,0.54043,1.09775,0.0016832,0.0016832,0.0016832
10,176.114,0.59055,0.46424,1.14584,0.9982,1,0.995,0.90721,0.45941,0.37193,1.06313,0.0016436,0.0016436,0.0016436
11,193.427,0.56333,0.43484,1.13845,0.96094,1,0.98875,0.87604,0.5222,0.4635,1.12129,0.001604,0.001604,0.001604
12,211.146,0.54585,0.41486,1.10713,0.88479,0.92308,0.95454,0.6079,0.88755,1.10732,1.35793,0.0015644,0.0015644,0.0015644
13,227.912,0.55408,0.39757,1.10345,0.97786,0.98077,0.99374,0.83044,0.69392,0.54065,1.37609,0.0015248,0.0015248,0.0015248
14,244.987,0.53717,0.39056,1.10888,0.99848,1,0.995,0.94679,0.37228,0.3002,0.97555,0.0014852,0.0014852,0.0014852
15,262.977,0.51644,0.38817,1.10955,0.99868,1,0.995,0.89806,0.47123,0.32538,1.13286,0.0014456,0.0014456,0.0014456
